鏈烘瀯鍚嶇О,瀹樼綉URL
Affin Bank Berhad,https://www.affinalways.com/en/homepage
Alliance Bank Malaysia Berhad,https://www.alliancebank.com.my
AmBank (M) Berhad,https://www.ambank.com.my
CIMB Bank Berhad,https://www.cimb.com.my
HSBC Bank Malaysia Berhad,https://www.hsbc.com.my
Hong Leong Bank Berhad,https://www.hlb.com.my
Malayan Banking Berhad (Maybank),https://www.maybank2u.com.my
OCBC Bank (Malaysia) Berhad,https://www.ocbc.com.my
Public Bank Berhad,https://www.publicbank.com.my
RHB Bank Berhad,https://www.rhbgroup.com
Standard Chartered Bank Malaysia Berhad,https://www.sc.com/my
The Bank of Nova Scotia Berhad,https://www.scotiabank.com.my
United Overseas Bank (Malaysia) Bhd (UOB),https://www.uob.com.my
Affin Islamic Bank Berhad,https://www.affinislamic.com.my
Al Rajhi Banking & Investment Corporation (Malaysia) Berhad,https://www.alrajhibank.com.my
Alliance Islamic Bank Berhad,https://www.alliancebank.com.my
AmBank Islamic Berhad,https://www.ambankislamic.com.my
Bank Islam Malaysia Berhad,https://www.bankislam.com.my
Bank Muamalat Malaysia Berhad,https://www.muamalat.com.my
CIMB Islamic Bank Berhad,https://www.cimb.com.my
HSBC Amanah Malaysia Berhad,https://www.amanah.hsbc.com.my
Hong Leong Islamic Bank Berhad,https://www.hongleongislamic.com.my
Kuwait Finance House (Malaysia) Berhad,https://www.kfh.com.my
MBSB Bank Berhad,https://www.mbsbbank.com
Maybank Islamic Berhad,https://www.maybank2u.com.my
OCBC Al-Amin Bank Berhad,https://www.ocbc.com.my
Public Islamic Bank Berhad,https://www.publicbank.com.my
RHB Islamic Bank Berhad,https://www.rhbgroup.com
Standard Chartered Saadiq Berhad,https://www.sc.com/my
SME Bank,https://www.smebank.com.my
EXIM Bank,https://www.exim.com.my
Bank Kerjasama Rakyat Malaysia Berhad,https://www.bankrakyat.com.my
Bank Simpanan Nasional (BSN),https://www.mybsn.com.my
Agrobank,https://www.agrobank.com.my
GX Bank Berhad,https://www.gxbank.my
Boost Bank Berhad,https://www.myboost.com.my
AEON Bank (M) Berhad,https://www.aeonbank.com.my
KAF Digital Bank Berhad,https://www.kaf.com.my
YTL Digital Bank Berhad (Ryt Bank),https://www.ytl.com
Bay Smart Capital Ventures Sdn Bhd (CapBay),https://www.capbay.com
B2B Finpal Sdn Bhd,https://www.b2bfinpal.com
CapSphere Services Sdn Bhd (Capsphere),https://www.capsphere.com
Crowd Sense Sdn Bhd (Cofundr),https://www.cofundr.com.my
FBM Crowdtech Sdn Bhd (Alixco),https://fbmcrowdtech.com
Microleap PLT (microLEAP),https://www.microleap.com
Modalku Ventures Sdn Bhd (Funding Societies Malaysia),https://fundingsocieties.com.my
MoneySave Capital PLT (MoneySave),https://moneysave.com.my
Peoplender Sdn Bhd (Fundaztic),https://fundaztic.com
QuicKash Malaysia Sdn Bhd (QuicKash),https://quickash.com.my
FinTech,https://fintechnews.my
AEON Credit Service,https://www.aeoncredit.com.my
BigPay,https://www.bigpayme.com
Grab Finance,https://www.grab.com/my/finance/
iMoney,https://www.imoney.my
RinggitPlus,https://ringgitplus.com
LOANStreet,https://www.loanstreet.com.my
BankBazaar Malaysia,https://www.bankbazaar.my
Credit Malaysia,https://www.creditmalaysia.com.my
PropertyGuru Finance,https://www.propertyguru.com.my/finance
My Startr,https://mystartr.com.my
GetFinancial,https://getfinancial.my
Finfolio,https://www.folio.com.my
SmartLoans,https://smartloans.my
Easy Bank,https://easybank.my
KL Financial News,https://www.klfinancialnews.com
KreditGo,https://kreditgo.com.my
1bank,https://1bank.my