Company,Loan Type,Product Name,Rate,Features,Benefits,Fees & Charges,Required Documents,Tenure,Application Form URL,Product Disclosure URL,Terms & Conditions URL,Customer Preference,Source URL
Boost Bank,SME_LOAN,Boost SME Term Loan,From 9.9% p.a. flat,"For SMEs, RM50k-RM1M, Minimal documentation","Fast approval, No early settlement fee","Processing: Free, Early settlement: Free",Business registration (1 year min), Latest audited report,Up to 36 months,https://myboostbank.co/,,,SMEs,https://myboostbank.co/business/financing/term-loan
AEON Bank,PERSONAL_FINANCING,Personal Financing-i,6.88% p.a. profit rate,"Digital Islamic bank, Instant approval, Up to RM10k","Fast disbursement to AEON Bank account","Wakalah fee: RM1, Late payment: 1% p.a.","IC, income proof (RM3k/month min)",3-24 months,https://www.aeonbank.my/,,,Malaysian citizens 18-55,https://www.aeonbank.my/personal-financing
AEON Credit,PERSONAL_FINANCING,AEON i-Cash,From 7.92% p.a. profit rate,"Shariah-compliant, Up to RM100k, Instant to AEON Member Plus Visa","24/7 disbursement","Processing: 2-4%, Wakalah: RM10.80, Stamp duty: 0.5%","IC, income proof (RM2k/month min)",6-84 months,https://aeoncredit.com.my/,,,Min income RM2k/month,https://myaeoncredit.com.my/financing/personal-financing/
AEON Credit,CREDIT_CARD,AEON Biker Infinite Visa,"Standard CC rates, 8% cashback on bike parts & overseas","8% cashback bike-related, 2% petrol & insurance","Motorcycle community focus","Annual fees: Check with bank",,Min income: Higher tier,https://aeoncredit.com.my/,,,Motorcycle enthusiasts,https://aeoncredit.com.my/cards/credit-cards/
AEON Credit,CREDIT_CARD,AEON Platinum Visa,"Standard CC rates, 10% cashback AEON stores (20th & 28th)","6x AEON Points overseas, 6x free lounge access/year, Travel insurance up to RM1M","Premium perks, Travel benefits","Annual fee: Premium tier",,Min income: Premium tier,https://aeoncredit.com.my/,,,Premium customers,https://aeoncredit.com.my/cards/credit-cards/
Affin Bank,PERSONAL_FINANCING,Affin Islamic Personal Financing-i,3.50-5.30% p.a. nominal (6.29-6.58% EPR),"Shariah-compliant Tawarruq, No collateral/guarantor, Up to RM250k","Preferential rates for govt employees, Takaful coverage available","No processing fee, No early settlement fee, Stamp duty: 0.5%, Salary deduction: 1.5%","IC, 3 months payslips, bank statements",2-10 years (up to age 60),https://www.affinalways.com/,https://www.affinalways.com/storage/PersonalFinancing-PDS-ENG.pdf,https://www.affinalways.com/,Govt/GLC employees & salaried,https://www.affinalways.com/en/affin-islamic-personal-financing-i
Affin Bank,HOME_LOAN,Affin My First Home Scheme,SBR + spread (100% financing available),"Zero downpayment, First-time buyers only, Up to RM500k property","100% financing, Govt-backed scheme","Processing: Waived, Lock-in: 5 years, Early settlement: 2-5%","IC, payslips, property docs, SPA",Up to 35 years or age 70,https://www.affinalways.com/,https://www.affinalways.com/storage/MyFirstHome-PDS-ENG.pdf,https://www.affinalways.com/,First-time buyers 18-40,https://www.affinalways.com/en/my-first-home-scheme
Affin Bank,HOME_LOAN,Affin Home Solution Plus,SBR + spread (variable rate),"Term or flexi options, Up to 95% financing, Redraw facility","Daily rest interest calculation","Lock-in: 5 years, Early settlement: 3-5%, Processing: Standard","IC, payslips, property documents",Up to 35 years or age 75,https://www.affinalways.com/,https://www.affinalways.com/storage/HomeSolutionPlus-PDS-ENG.pdf,https://www.affinalways.com/,Property buyers,https://www.affinalways.com/en/home-solution-plus
Alliance Bank,PERSONAL_LOAN,CashFirst Personal Loan,4.99-16.68% p.a. flat (9.14-27.05% EIR),"Up to RM200k, 10 min approval, 30% cashback promo (until Dec 31, 2025)","Same-day disbursement, No processing fee","Processing: Free, Stamp duty: 0.5%, Early settlement: No penalty (3 months notice)","IC, payslips (RM3k/month min), bank statement",1-7 years (84 months max),https://www.alliancebank.com.my/,https://apply-personal-loan.alliancebank.com.my/,https://www.alliancebank.com.my/,Malaysian/PR age 21-60,https://www.alliancebank.com.my/personal/Financing/personal-loan-financing
Alliance Bank,HOME_LOAN,Alliance FlexLink Home Loan,SBR + spread,"Full flexi with current account, Deposit/withdraw anytime, Offset up to 75% of loan","No redraw fees, Interest savings","Processing: Standard, No early settlement penalty","IC, payslips, property documents",Up to 35 years or age 70,https://www.alliancebank.com.my/,https://www.alliancebank.com.my/personal/Financing/personal-mortgage/Alliance-FlexLink-Home-Loan,https://www.alliancebank.com.my/,Property buyers,https://www.alliancebank.com.my/personal/Financing/personal-mortgage/Alliance-FlexLink-Home-Loan
Alliance Bank,HOME_LOAN,Alliance ONE Account,Up to 95% margin (refinancing/consolidation),"Refinance + consolidate debts, Cash-out from equity, Optional overdraft","Debt consolidation solution","Processing: Standard","IC, payslips, property documents",Up to 35 years,https://www.alliancebank.com.my/,https://www.alliancebank.com.my/Personal/Financing/personal-mortgage/Alliance-One-Account,https://www.alliancebank.com.my/,Refinancing customers,https://www.alliancebank.com.my/Personal/Financing/personal-mortgage/Alliance-One-Account
Al Rajhi Bank,PERSONAL_FINANCING,Al Rajhi Personal Financing-i,5.27-14.83% p.a. profit rate (tiered by income),"Shariah-compliant, Up to RM250k or 8-9x salary, No collateral/guarantor","RM500 cash gift for every 5th approval (July 2025 promo), Fast 24-48 hour processing","No processing fee, No early settlement fee, Stamp duty: 0.5%","IC, 3 months payslips, 6 months bank statement, EPF statements",24-96 months (2-8 years),https://www.alrajhibank.com.my/,https://www.alrajhibank.com.my/personal/financing/personal-financing-i,https://www.alrajhibank.com.my/,Min income RM5k/month age 25+,https://www.alrajhibank.com.my/personal/financing/personal-financing-i
Al Rajhi Bank,HOME_FINANCING,Al Rajhi Home Financing-i,Variable based on Islamic Base Rate,"Shariah-compliant Commodity Murabahah, High margin available, Fixed monthly instalments","Islamic financing principles, Contracted Profit Rate ceiling","Processing: Standard, Stamp duty: 20% reduction","IC, payslips, SPA, title deed, valuation report, EPF, EA form",Up to 35 years or age 70,https://www.alrajhibank.com.my/,https://www.alrajhibank.com.my/personal/financing/home-financing-i,https://www.alrajhibank.com.my/,Malaysian citizens age 21+,https://www.alrajhibank.com.my/personal/financing/home-financing-i
MBSB Bank,PERSONAL_FINANCING,MBSB Mumtaz-i (Govt),SBR + 3.05% (5.80% EPR at SBR 2.75%),"For permanent govt/GLC employees, Up to RM250k, No guarantor","Zero processing fee, No early settlement charges, Takaful coverage optional","Processing: Zero, Early settlement: No charges, Ceiling rate: 15%","IC, 3 months payslips, bank statements",2-10 years (up to age 60),https://www.mbsbbank.com/,https://www.mbsbbank.com/consumer-banking/financing/personal-financing-i,https://www.mbsbbank.com/,Permanent govt/GLC employees RM3k+ income,https://www.mbsbbank.com/consumer-banking/financing/personal-financing-i
MBSB Bank,PERSONAL_FINANCING,MBSB Afdhal-i,SBR + 4.25% (7.25% EPR),"For contract govt/GLC & premium customers, Up to RM400k, No guarantor","Higher financing amount, Flexible for contract staff","Processing: Zero, Ceiling rate: 15%","IC, payslips, contract documents",2-10 years (up to age 60),https://www.mbsbbank.com/,https://www.mbsbbank.com/consumer-banking/financing/personal-financing-i,https://www.mbsbbank.com/,Contract govt/premium customers,https://www.mbsbbank.com/consumer-banking/financing/personal-financing-i
MBSB Bank,HOME_FINANCING,MBSB Standard Home Financing-i,Variable (ceiling 11% p.a.),"100% financing for first-time buyers RM100k-RM500k property, Legal/valuation subsidy up to RM6k","No processing fee, Special rates for first home","Processing: Waived, Legal/valuation: Subsidy up to RM6k","IC, payslips (joint applicants allowed), property documents",Up to 35 years or age 70,https://www.mbsbbank.com/,https://www.mbsbbank.com/consumer-banking/financing/property-financing-i,https://www.mbsbbank.com/,First-time buyers RM4k+ joint income,https://www.mbsbbank.com/consumer-banking/financing/property-financing-i
MBSB Bank,HOME_FINANCING,MBSB Ultimate Home Financing-i,Up to 100% margin,"For RM500k-RM10M properties, Residential & commercial, No income cap","Zero processing fee, No age restrictions (18-40)","Processing: Zero","IC, payslips, property documents",Up to 35 years or age 70,https://www.mbsbbank.com/,https://www.mbsbbank.com/consumer-banking/financing/property-financing-i,https://www.mbsbbank.com/,Higher-value property buyers,https://www.mbsbbank.com/consumer-banking/financing/property-financing-i
Standard Chartered,PERSONAL_LOAN,CashOne Personal Loan,9% p.a. flat (0.583% per month),"Up to 4x monthly salary (RM50k max), No processing fees, Up to 5 years free CC annual fees","Quick approval, No collateral/guarantor","Processing: No fees, Early settlement: No fees, Late payment: 1% p.a.","IC, payslips (RM2k/month min), bank statement",12-60 months (24 min if <RM15k),https://www.sc.com/my/,https://www.sc.com/my/loans/personal-loans/,https://www.sc.com/my/,Malaysian/foreigners age 21-65,https://www.sc.com/my/loans/personal-loans/
Standard Chartered,HOME_LOAN,MortgageOne,SBR + spread (~2.95% effective for RM900k),"Full flexi with current account, 70% deposits offset interest, Redraw facility anytime","Daily net balance interest calculation, No lock-in period","Processing: 0.5-1%, Cancellation: 0.5-2.25%, Utilisation fee: 1% p.a. if ≤30% used","IC, payslips, property documents, SPA",5-35 years or age 70,https://www.sc.com/my/,https://www.sc.com/my/loans/mortgageone/,https://www.sc.com/my/,Salaried/self-employed age 21-70,https://www.sc.com/my/loans/mortgageone/
HSBC,PERSONAL_FINANCING,HSBC Amanah Personal Financing-i,8.75% p.a. flat rate,"Shariah-compliant, Up to RM150k, Instant cash upon approval, Existing customers only","Islamic financing principles","No stamp duty, No processing fee, No early settlement fee, Late payment: 1% p.a.","IC, payslips (RM3k/month min), existing HSBC account",Flexible tenure,https://www.hsbc.com.my/,https://www.hsbcamanah.com.my/financing/products/personal-financing-i/,https://www.hsbc.com.my/,Existing HSBC customers age 21-60,https://www.hsbcamanah.com.my/financing/products/personal-financing-i/
HSBC,HOME_LOAN,HSBC HomeSmart,SBR-based variable rate,"Revolving facility, Deposit excess/withdraw anytime, ATM/cheque/online access","Interest on outstanding balance only","Monthly service fee: RM10, Commitment fee: RM40/month if <50% utilization, No prepayment charges","IC, payslips, property docs, SPA",Min 5 years, Max 35 years or age 70,https://www.hsbc.com.my/,https://www.hsbc.com.my/mortgages/products/homesmart/,https://www.hsbc.com.my/,Property buyers,https://www.hsbc.com.my/mortgages/products/homesmart/
HSBC,HOME_FINANCING,HSBC Amanah HomeSmart-i,Base Rate 2.63% + spread,"Shariah-compliant Diminishing Musharakah, Up to 90% margin, Zero Moving Cost promo (2025)","Prepay/withdraw anytime without charges, Takaful products available","Zero Moving Cost: Up to RM50k waived (min RM500k financing), Lock-in: 5 years","IC, payslips, property documents",Up to 35 years or age 65,https://www.hsbc.com.my/,https://www.hsbcamanah.com.my/financing/products/homesmart-i/,https://www.hsbc.com.my/,Property buyers (Islamic),https://www.hsbcamanah.com.my/financing/products/homesmart-i/
OCBC,PERSONAL_LOAN,OCBC Personal Loan,Varies by creditworthiness,"Up to RM150k, No collateral/guarantor, Fast approval","Flexible tenure","No stamping/legal fees","IC, payslips (RM2k/month min), employment letter",Up to 10 years,https://www.ocbc.com.my/,https://www.ocbc.com.my/personal-banking/loans/personal-consumption,https://www.ocbc.com.my/,Malaysian/PR permanent employment,https://www.ocbc.com.my/personal-banking/loans/personal-consumption
OCBC,PERSONAL_FINANCING,OCBC Al-Amin Personal Financing,Varies (Shariah-compliant),"Shariah-compliant, Up to RM150k, No collateral/guarantor","Islamic financing principles","No stamping/legal fees, Early settlement penalty applies (advance letter required)","IC, payslips (RM2k/month min) OR CC RM6k limit 12+ months",Up to 10 years,https://www.ocbc.com.my/,https://www.ocbc.com.my/OCBCAL_Amin/,https://www.ocbc.com.my/,Malaysian/PR,https://www.ocbc.com.my/OCBCAL_Amin/
OCBC,HOME_LOAN,OCBC Home Loan,SBR 2.75% + spread (4.70% effective for RM350k/30yr),"Up to 95% margin (with MRTA), Term/overdraft/combo options","Low base rate SBR 2.75%","Processing: Standard, Lock-in: 3 years (<RM500k), No lock-in (≥RM500k)","IC, payslips, property documents",Up to 35 years or age 70,https://www.ocbc.com.my/,https://www.ocbc.com.my/personal-banking/loans/property/home-loans,https://www.ocbc.com.my/,Property buyers (branch towns/cities only),https://www.ocbc.com.my/personal-banking/loans/property/home-loans
UOB,PERSONAL_LOAN,UOB Personal Loan,3.99-10.99% p.a. flat rate,"Up to RM150k, No guarantor/collateral, Up to RM400 cashback promo","7 business days approval, Multiple tenure options","Processing: No fee, Early settlement: 3% (min RM300), Stamp duty: Per Act, Late payment: 1%","IC, 3 months payslips, business registration (if self-employed 2 years min)",12-60 months (1-5 years),https://www.uob.com.my/,https://www.uob.com.my/web-resources/personal/pdf/personal/borrow/personal-loan/personal-loan-pds.pdf,https://www.uob.com.my/,Malaysians only age 21-55 (RM3k/month min),https://www.uob.com.my/personal/borrow/personal-loan.page
UOB,HOME_LOAN,UOB Intelligent Home Loan,SBR + spread (4.36% effective for RM350k/30yr),"Up to 95% margin (with MRTA), Flexible repayment (monthly/fortnightly/weekly/daily), Redraw facility","Payment holiday option, Interest savings with flexible frequency","Lock-in: 3 years, Early settlement: 2%, Annual facility fee: RM120 (if overdraft)","IC, payslips, property documents, SPA",Up to 35 years or age 70,https://www.uob.com.my/,https://www.uob.com.my/personal/borrow/property/i-home-loan.page,https://www.uob.com.my/,Malaysian/PR/foreigners age 18+,https://www.uob.com.my/personal/borrow/property/i-home-loan.page
UOB,HOME_LOAN,UOB Go Green Home Loan (2025 Campaign),SBR 3.00% + spread,"RM1,500 cashback upon drawdown, Up to 95% margin, For certified green properties (Gold+ category)","Environmental sustainability focus, Redraw & skip payment options","Cashback: RM1,500, Processing: Standard, Prepayment allowed","IC, payslips, property documents, green certification",Up to 35 years or age 70,https://www.uob.com.my/,https://www.uob.com.my/personal/borrow/property/go-green-home-loan.page,https://www.uob.com.my/,Green property buyers,https://www.uob.com.my/personal/borrow/property/go-green-home-loan.page
Kuwait Finance House,PERSONAL_FINANCING,KFH Personal Financing-i,Max 6.88% p.a. profit rate,"Shariah-compliant Murabahah Tawarruq, Up to RM150k or 8x salary, Salaried only","Fast approval, Islamic financing","Processing: Standard, Free personal accident insurance","IC, payslips (RM3k/month min)",2-8 years,https://www.kfh.com.my/,https://www.kfh.com.my/malaysia/personal/financing.html,https://www.kfh.com.my/,Salaried employees,https://www.kfh.com.my/malaysia/personal/financing.html
Kuwait Finance House,HOME_FINANCING,KFH Ijarah Muntahiah Bi Al-Tamlik (Completed Property),BR + 0.95% (refinancing),"Shariah-compliant lease-to-own, Up to 95% margin (with MRTT), Free moving cost (≥RM500k)","No lock-in, 20% stamp duty reduction, Possible Ibra' (rebate)","Processing: Free (≥RM500k), Late payment: 1% daily, Early settlement: 30-day notice","IC, payslips, property documents, MRTT optional",Up to 35 years or age 70,https://www.kfh.com.my/,https://www.kfh.com.my/malaysia/personal/financing.html,https://www.kfh.com.my/,Property buyers (completed properties),https://www.kfh.com.my/malaysia/personal/financing.html
Kuwait Finance House,HOME_FINANCING,KFH Ijarah Mawsufah Fi Al-Zimmah (Under Construction),Variable based on Base Rate,"Forward lease contract, Up to 95% margin (with MRTT), For under-construction properties","20% stamp duty reduction, Islamic financing","Processing: Standard, Monthly payments as rental","IC, payslips, SPA, MRTT optional",Up to 35 years or age 70,https://www.kfh.com.my/,https://www.kfh.com.my/malaysia/personal/financing.html,https://www.kfh.com.my/,Under-construction property buyers,https://www.kfh.com.my/malaysia/personal/financing.html
